SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
96-9015	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 530 mm 21"			530MM	21"		
96-9015-1	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 530 mm 21" RD53		RD53	530MM	21"		
96-9016	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 600 mm 24"			600MM	24"		
96-9016-1	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 600 mm 24" RD60		RD60	600MM	24"		
96-9017	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 650 mm 26"			650MM	26"		
96-9017-1	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 650 mm 26" RD65		RD65	650MM	26"		
96-9018	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 700 mm 28"			700MM	28"		
96-9018-1	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 700 mm 28" RD70		RD70	700MM	28"		
96-9019	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 550 mm 22"		12201222 RD55	550MM	22"		
96-9020-1	UNIVERSAL	TELLİ	UNIVERSAL SİLGİ GRAFİTLİ METAL TELLİ 400 mm 16"RD41		RD41	400MM	16"		
97-350-1	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 350 MM 14" İNÇ HYBRID )		12401614 97-350	350MM	14"		
97-380	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 380 MM 15" İNÇ HYBRID )		97-380-1 97-380 12401615	380MM	15"		
97-380-1	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 380 MM 15" İNÇ HYBRID )		97-380-1 97-380 12401615	380MM	15"		
97-400-1	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 400 MM 16" İNÇ HYBRID )		97-410 12401616	400MM	16"		
97-410	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 410 MM 16" İNÇ HYBRID )			410MM	16"		
97-430	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 430 MM 17" İNÇ HYBRID )			430MM	17"		
97-430-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 430 MM 17" İNÇ HYBRID )		12401617	430MM	17"		
97-450-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 450 MM 18" İNÇ HYBRID )		12401618	450MM	18"		
